,0
2109,13711
2110,13712
2111,13713
2112,13714
2113,13715
2114,13716
2115,13717
2116,13718
2117,13719
2118,14272
2119,14273
2120,14274
2121,14275
2122,14276
2123,14277
2124,14278
2125,14279
2126,14280
2127,14281
2128,14282
2129,14283
2130,14284
2131,14285
2132,14286
2133,14287
2134,14288
2135,14289
2136,14290
2137,14291
2138,14475
2139,14476
2140,14477
2141,14478
2142,14479
2143,14480
2144,14481
2145,14482
2146,14483
2147,14484
2148,14485
2149,14486
2150,14487
2151,14488
2152,14489
2153,14490
2154,14491
2155,14492
2156,14493
2157,14494
2158,14495
2159,14496
2160,14497
2161,14498
2162,14499
2163,14500
2164,14501
2165,14502
2166,14503
2167,14504
2168,14505
2169,14506
2170,14507
2171,14508
2172,14509
2173,14510
2174,14511
2175,14512
2176,14513
2177,14514
2178,14515
2179,14516
2180,14517
2181,14518
2182,14677
2183,14678
2184,14679
2185,14680
2186,14681
2187,14682
2188,14683
2189,14684
2190,14685
2191,14686
2192,14687
2193,14688
2194,14689
2195,14690
2196,14691
2197,14692
2198,14693
2199,14694
2200,14695
2201,14696
2202,14697
2203,14698
2204,14699
2205,14700
2206,14701
2207,14702
2208,14703
2209,14704
2210,14705
2211,14706
2212,14707
2213,14708
2214,14709
2215,14710
2216,14711
2217,14712
2218,14713
2219,14714
2220,14715
2221,14716
2222,14717
2223,15163
2224,15164
2225,15165
2226,15166
2227,15167
2228,15168
2229,15169
2230,15170
2231,15171
2232,15172
2233,15173
2234,15174
2235,15175
2236,15176
2237,15177
2238,15178
2239,15179
2240,15180
2241,15181
2242,15182
2243,15183
2244,15184
2245,15185
2246,15186
2247,15187
2248,15188
2249,15189
2250,15190
2251,15191
2252,15192
2253,15193
2254,15194
2255,15195
2256,15196
2257,15197
2258,15198
2259,15199
2260,15200
2261,15201
2262,15202
2263,15203
2264,15204
2265,15205
2266,15206
2267,15207
2268,15208
2269,15209
2270,15210
2271,15211
2272,15212
2273,15213
2274,15214
2275,15215
2276,15216
2277,15217
2278,15218
2279,15219
2280,15220
2281,15221
2282,15222
2283,15223
2284,15345
2285,15346
2286,15347
2287,15348
2288,15349
2289,15350
2290,15351
2291,15352
2292,15353
2293,15354
2294,15355
2295,15356
2296,15357
2297,15358
2298,15359
2299,15360
2300,15361
2301,15362
2302,15363
2303,15364
2304,15365
2305,15366
2306,15367
2307,15368
2308,15369
2309,15370
2310,15371
2311,15372
2312,15373
2313,15374
2314,15375
2315,15376
2316,15377
2317,15378
2318,15379
2319,15380
2320,15381
2321,15382
2322,15383
2323,15384
2324,15385
2325,15386
2326,15387
2327,15388
2328,15389
2329,15390
2330,15391
2331,15392
2332,15393
2333,15394
2334,15395
2335,15396
2336,15397
2337,15398
2338,15399
2339,15590
2340,15591
2341,15592
2342,15593
2343,15594
2344,15595
2345,15596
2346,15597
2347,15598
2348,15599
2349,15600
2350,15601
2351,15602
2352,15603
2353,15604
2354,15605
2355,15606
2356,15607
2357,15608
2358,15609
2359,15610
2360,15611
2361,15612
2362,15613
2363,15614
2364,15615
2365,15616
2366,15617
2367,15618
2368,15619
2369,15620
2370,15621
2371,15622
2372,15623
2373,15624
2374,15625
2375,15626
2376,15627
2377,15628
2378,15629
2379,15630
2380,15631
2381,15632
2382,15633
2383,15634
2384,15635
2385,15636
2386,15637
2387,15638
2388,15639
2389,15640
2390,15641
2391,15642
2392,15643
2393,15644
2394,15645
2395,15646
2396,15647
2397,15648
2398,15649
2399,15650
2400,15651
2401,15652
2402,15653
2403,15654
2404,15655
2405,15656
2406,15657
2407,15658
2408,15659
2409,15660
2410,15661
2411,15662
2412,15663
2413,15664
2414,15665
2415,15666
2416,15667
2417,15668
2418,15669
2419,16170
2420,16171
2421,16172
2422,16173
2423,16174
2424,16175
2425,16176
2426,16177
2427,16178
2428,16179
2429,16180
2430,16181
2431,16182
2432,16183
2433,16184
2434,16185
2435,16186
2436,16187
2437,16188
2438,16189
2439,16190
2440,16191
2441,16192
2442,16193
2443,16194
2444,16195
2445,16196
2446,16197
2447,16198
2448,16199
2449,16200
2450,16201
2451,16202
2452,16203
2453,16204
2454,16205
2455,16206
2456,16207
2457,16208
2458,16209
2459,16210
2460,16211
2461,16212
2462,16213
2463,16214
2464,16215
2465,16216
2466,16217
2467,16218
2468,16219
2469,16220
2470,16221
2471,16222
2472,16223
2473,16224
2474,16225
2475,16226
2476,16227
2477,16228
2478,16229
2479,16230
2480,16231
2481,16232
2482,16233
2483,16234
2484,16235
2485,16236
2486,16446
2487,16447
2488,16448
2489,16449
2490,16450
2491,16451
2492,16452
2493,16453
2494,16454
2495,16455
2496,16456
